Collection Date	Strain Name	Latitude	Longitude
08/06/2009	-N/A-	34.631428	36.326969
08/06/2009	-N/A-	34.631428	36.326969
08/04/2009	A/quail/Lebanon/273/2010(H9N2)	33.888769	35.984269
08/04/2009	A/quail/Lebanon/272/2010(H9N2)	33.888769	35.984269
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.25871	-117.805228
08/11/2014	-N/A-	56.06	-118.38
08/11/2014	-N/A-	56.06	-118.38
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.06	-118.38
08/13/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.25871	-117.805228
08/11/2014	-N/A-	56.25871	-117.805228
08/12/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.25871	-117.805228
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.06	-118.38
08/13/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.25871	-117.805228
08/13/2014	-N/A-	56.25871	-117.805228
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.06	-118.38
08/13/2014	-N/A-	56.25871	-117.805228
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.16094	-118.515139
08/13/2014	-N/A-	56.16094	-118.515139
08/11/2014	-N/A-	56.06	-118.38
08/11/2014	-N/A-	56.06	-118.38
08/12/2014	-N/A-	56.16094	-118.515139
08/12/2014	-N/A-	56.16094	-118.515139
10/16/2012	-N/A-	-0.140667	34.357334
07/15/2010	-N/A-	-1.317	36.783
07/14/2010	-N/A-	-1.317	36.783
07/15/2010	-N/A-	-1.317	36.783
07/15/2010	-N/A-	-1.317	36.783
07/16/2010	-N/A-	-1.317	36.783
07/16/2010	-N/A-	-1.317	36.783
11/08/2012	-N/A-	-1.317	36.783
10/18/2012	-N/A-	-1.317	36.783
10/31/2012	-N/A-	-1.317	36.783
09/25/2012	-N/A-	-0.140667	34.357334
03/12/2010	-N/A-	-1.317	36.783
07/15/2010	-N/A-	-1.317	36.783
08/13/2010	-N/A-	-1.317	36.783
