X	Y	T
34.631428	36.326969	3506
34.631428	36.326969	3506
33.888769	35.984269	3504
33.888769	35.984269	3504
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.25871	-117.805228	5339
56.06	-118.38	5337
56.06	-118.38	5337
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.06	-118.38	5338
56.16094	-118.515139	5339
56.25871	-117.805228	5339
56.25871	-117.805228	5337
56.16094	-118.515139	5338
56.16094	-118.515139	5339
56.25871	-117.805228	5339
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.06	-118.38	5338
56.16094	-118.515139	5339
56.16094	-118.515139	5339
56.16094	-118.515139	5339
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.25871	-117.805228	5338
56.25871	-117.805228	5339
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.06	-118.38	5339
56.25871	-117.805228	5339
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5338
56.16094	-118.515139	5339
56.16094	-118.515139	5339
56.06	-118.38	5337
56.06	-118.38	5337
56.16094	-118.515139	5338
56.16094	-118.515139	5338
-0.140667	34.357334	4673
-1.317	36.783	3849
-1.317	36.783	3848
-1.317	36.783	3849
-1.317	36.783	3849
-1.317	36.783	3850
-1.317	36.783	3850
-1.317	36.783	4696
-1.317	36.783	4675
-1.317	36.783	4688
-0.140667	34.357334	4652
-1.317	36.783	3724
-1.317	36.783	3849
-1.317	36.783	3878
-1.317	36.783	4688
-1.317	36.783	3720
-1.317	36.783	3849
-1.317	36.783	3877
-1.317	36.783	3878
-1.317	36.783	4407
-1.317	36.783	3850
-1.317	36.783	3850
-1.317	36.783	3878
-1.317	36.783	3878
-1.317	36.783	4675
-1.317	36.783	3723
-1.317	36.783	3848
-1.317	36.783	3878
-1.317	36.783	3848
-1.317	36.783	3716
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.16	29.08	4823
45.1358	28.786	3321
45.1358	28.786	3321
45.1358	28.786	3321
45.1358	28.786	3321
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.21	28.58	4828
45.21	28.58	4828
45.19	28.8	3725
45.1358	28.786	3321
45.1358	28.786	3310
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.21	28.58	4828
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.21	28.58	4828
45.21	28.58	4828
45.21	28.58	4828
45.1358	28.786	3321
45.1358	28.786	3310
45.1358	28.786	3310
45.1358	28.786	3310
45.1358	28.786	3321
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.21	28.58	4828
45.16	29.08	4823
45.1358	28.786	3321
45.1358	28.786	3321
45.1358	28.786	3321
45.1358	28.786	3310
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.21	28.58	4828
45.21	28.58	4828
45.1358	28.786	3310
45.1358	28.786	3310
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.1358	28.786	3321
45.1358	28.786	3310
45.1358	28.786	3310
45.1358	28.786	3310
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3917
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.247778	29.078889	3946
45.1358	28.786	3321
45.1358	28.786	3321
45.1358	28.786	3321
45.1358	28.786	3321
16.08953	100.19915	4072
16.08953	100.19915	4072
16.08953	100.19915	4072
13.23903	100.985843	4400
14.31978	99.95289	4455
13.858915	100.862172	4528
17.501444	100.119917	4569
17.440056	100.140667	4570
13.90872	102.56153	5017
13.89489	102.56661	5017
13.89489	102.56661	5017
17.045119	100.204897	3491
13.801369	100.550103	3570
15.36834	99.68446	4009
16.58218	100.49226	4025
15.89668	100.13923	4036
15.89668	100.13923	4036
15.89668	100.13923	4036
16.43194	100.34381	4072
17.03416	99.97424	4283
16.1368	99.73225	4372
16.1368	99.73225	4372
16.14514	99.7657	4372
16.23261	99.79467	4372
16.23261	99.79467	4372
16.54948	100.48838	4374
16.54948	100.48838	4374
15.84771	100.25964	4402
